,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,eval_batch_size,rel_filter_threshold,prop_drop
132,conll04_bert_train,2022-03-24_11.54.55.230930,71.70947763183992,50.44099526604467,50.18942293900065,77.81934794227685,50.6393861892583,50.38363171355499,4,20,100,100,5e-06,0.01,1,0.5,0.1
133,conll04_bert_train,2022-03-24_20.21.38.422446,82.70792717666771,69.70891564373059,69.39641564373058,86.21271806415307,68.68044515103338,68.362480127186,4,20,100,100,0.0001,0.1,1,0.5,0.1
134,conll04_bert_train,2022-03-24_13.07.00.055362,73.73564037654299,56.12963618224172,56.12963618224172,80.04338394793926,56.25920471281296,56.25920471281296,4,20,100,100,5e-06,0.0,1,0.5,0.0
135,conll04_bert_train,2022-03-24_11.15.07.765748,73.78053082562782,55.029984153641664,55.029984153641664,79.75863960504664,54.61956521739131,54.61956521739131,4,20,100,100,5e-06,0.05,1,0.5,0.1
136,conll04_bert_train,2022-03-24_15.26.26.245761,82.10340383140186,67.4021056009469,67.11225052848312,86.04269293924466,66.48122392211405,66.20305980528511,4,20,100,100,1e-05,0.005,1,0.4,0.0
137,conll04_bert_train,2022-03-24_20.15.25.970327,82.18663768873911,72.35260688998112,72.02202837758442,86.16600790513834,71.63232963549922,71.31537242472267,4,20,100,100,0.0001,0.1,1,0.5,0.0
138,conll04_bert_train,2022-03-24_10.17.07.397146,66.9746728908185,43.93488763342465,43.93488763342465,73.27677624602333,43.57405140758874,43.57405140758874,4,20,100,100,5e-06,0.1,1,0.4,0.1
139,conll04_bert_train,2022-03-24_19.56.06.843251,82.44337589132742,71.87939905078368,71.87939905078368,86.14864864864865,70.37593984962406,70.37593984962406,4,20,100,100,0.0001,0.1,1,0.4,0.0
140,conll04_bert_train,2022-03-24_16.43.39.922458,85.28989317510282,69.6929480222597,69.6929480222597,88.75070661390615,68.92307692307692,68.92307692307692,4,20,100,100,5e-05,0.1,1,0.4,0.0
141,conll04_bert_train,2022-03-24_21.11.24.113706,83.70801536117884,71.26696382523039,71.26696382523039,86.94177501413228,70.13782542113324,70.13782542113324,4,20,100,100,0.0001,0.01,1,0.4,0.0
142,conll04_bert_train,2022-03-24_12.01.33.596761,71.05909357295252,49.86149843189381,49.86149843189381,76.84989429175475,49.60629921259843,49.60629921259843,4,20,100,100,5e-06,0.01,1,0.5,0.2
143,conll04_bert_train,2022-03-24_21.17.36.561457,82.99816643857592,71.15516912191609,71.15516912191609,86.77966101694915,69.53846153846155,69.53846153846155,4,20,100,100,0.0001,0.01,1,0.4,0.1
144,conll04_bert_train,2022-03-24_19.30.46.210486,83.07167568598277,73.27018455156656,72.95018455156657,86.80089485458613,71.9640179910045,71.66416791604198,4,20,100,100,5e-05,0.0,1,0.4,0.2
145,conll04_bert_train,2022-03-24_21.05.13.080713,83.04107907980115,69.70958495200014,69.70958495200014,86.77966101694915,68.39546191247975,68.39546191247975,4,20,100,100,0.0001,0.05,1,0.5,0.2
146,conll04_bert_train,2022-03-24_16.25.22.462899,81.52696657994574,69.7669756787758,69.47712060631203,85.35655960805661,68.5212298682284,68.22840409956075,4,20,100,100,1e-05,0.0,1,0.5,0.0
147,conll04_bert_train,2022-03-24_12.14.48.987608,72.98292252090242,50.8381150155037,50.8381150155037,78.23750671681893,49.63503649635036,49.63503649635036,4,20,100,100,5e-06,0.005,1,0.4,0.1
148,conll04_bert_train,2022-03-24_22.28.00.193635,75.9721468363705,56.41489576760576,56.18233762807089,79.58115183246072,56.14489003880983,55.886157826649416,4,20,100,100,0.0001,0.0,1,0.4,0.0
149,conll04_bert_train,2022-03-24_21.30.03.269283,83.0074373497869,67.464889233097,67.464889233097,86.47125140924466,66.77215189873418,66.77215189873418,4,20,100,100,0.0001,0.01,1,0.5,0.0
150,conll04_bert_train,2022-03-24_10.48.56.001071,72.8066428497463,51.8948137665664,51.8948137665664,78.85032537960956,51.75000000000001,51.75000000000001,4,20,100,100,5e-06,0.05,1,0.4,0.0
151,conll04_bert_train,2022-03-24_13.38.53.448252,82.1528711545544,68.03473491537277,68.03473491537277,85.84070796460178,66.4804469273743,66.4804469273743,4,20,100,100,1e-05,0.1,1,0.4,0.2
152,conll04_bert_train,2022-03-24_18.59.13.782335,83.27707312284835,72.07489942125143,72.07489942125143,86.76470588235293,70.90620031796502,70.90620031796502,4,20,100,100,5e-05,0.005,1,0.5,0.0
153,conll04_bert_train,2022-03-24_14.05.36.621017,82.35395218115838,67.94009647995264,67.94009647995264,86.42659279778394,67.04067321178121,67.04067321178121,4,20,100,100,1e-05,0.05,1,0.4,0.0
154,conll04_bert_train,2022-03-24_18.46.45.347701,84.37054882001385,72.77070325723456,72.77070325723456,87.74482372691661,71.25748502994011,71.25748502994011,4,20,100,100,5e-05,0.005,1,0.4,0.1
